id,display_name,fx_stablecoin,max_slippage_percentage,status
HFT-USDT,HFT-USDT,False,0.03000000,delisted
RLC-USD,RLC-USD,False,0.03000000,online
SUPER-USD,SUPER-USD,False,0.03000000,online
VARA-USD,VARA-USD,False,0.03000000,online
UST-USD,UST-USD,True,0.01000000,delisted
SNX-USD,SNX-USD,False,0.03000000,online
VELO-USD,VELO-USD,False,0.03000000,online
CTSI-USD,CTSI-USD,False,0.03000000,online
XYO-USD,XYO-USD,False,0.03000000,online
KEEP-USD,KEEP-USD,False,0.03000000,delisted
OGN-USD,OGN-USD,False,0.03000000,online
CRO-USDT,CRO-USDT,False,0.03000000,online
AAVE-GBP,AAVE-GBP,False,0.03000000,online
CRV-BTC,CRV-BTC,False,0.03000000,online
ACH-USD,ACH-USD,False,0.03000000,online
OCEAN-USD,OCEAN-USD,False,0.03000000,online
FORT-USDT,FORT-USDT,False,0.03000000,delisted
XCN-USD,XCN-USD,False,0.03000000,online
UST-EUR,UST-EUR,True,0.01000000,delisted
UMA-EUR,UMA-EUR,False,0.03000000,delisted
GODS-USD,GODS-USD,False,0.03000000,online
ENS-EUR,ENS-EUR,False,0.03000000,online
NU-USD,NU-USD,False,0.03000000,delisted
EOS-USD,EOS-USD,False,0.03000000,online
MIR-BTC,MIR-BTC,False,0.03000000,delisted
ARB-USD,ARB-USD,False,0.03000000,online
PAX-USDT,PAX-USDT,True,0.01000000,delisted
USDC-GBP,USDC-GBP,True,0.01000000,online
DESO-USDT,DESO-USDT,False,0.03000000,delisted
UMA-GBP,UMA-GBP,False,0.03000000,delisted
LCX-USDT,LCX-USDT,False,0.03000000,delisted
CLV-EUR,CLV-EUR,False,0.03000000,delisted
PRQ-USD,PRQ-USD,False,0.03000000,online
KSM-USDT,KSM-USDT,False,0.03000000,delisted
QI-USD,QI-USD,False,0.03000000,online
POLY-USD,POLY-USD,False,0.03000000,delisted
BTC-USDT,BTC-USDT,False,0.03000000,online
BTRST-BTC,BTRST-BTC,False,0.03000000,delisted
TRU-USD,TRU-USD,False,0.03000000,online
AKT-USD,AKT/USD,False,0.03000000,online
ZEN-USD,ZEN-USD,False,0.03000000,online
ZEN-USDT,ZEN-USDT,False,0.03000000,delisted
CTX-USDT,CTX-USDT,False,0.05000000,delisted
RARI-USD,RARI-USD,False,0.03000000,online
ANKR-GBP,ANKR-GBP,False,0.03000000,online
ADA-ETH,ADA-ETH,False,0.03000000,online
QSP-USD,QSP-USD,False,0.05000000,delisted
